task_idx,success,best_score,duration_seconds,model
0,True,2.374727668845316,0.0,unknown
1,True,1.0818181818181818,0.0,unknown
2,True,13.661971830985916,0.0,unknown
3,True,1.023715415019763,0.0,unknown
4,True,1.0068493150684932,0.0,unknown
5,True,0.9932659932659933,0.0,unknown
6,True,1.0081632653061225,0.0,unknown
7,True,1.0158730158730158,0.0,unknown
8,False,0.0,0.0,unknown
9,True,1.0078740157480315,0.0,unknown
10,True,1.0076045627376427,0.0,unknown
11,True,1.0174165457184325,0.0,unknown
12,True,1.005128205128205,0.0,unknown
13,True,0.9102428722280885,0.0,unknown
14,True,1.024866785079929,0.0,unknown
15,True,1.0012376237623761,0.0,unknown
