task_idx,success,attempts,best_score,duration_seconds,model
0,True,23,1.7696160267111856,913.3866052627563,anthropic/claude-3.7-sonnet
1,True,24,1.0619469026548671,1047.817650794983,anthropic/claude-3.7-sonnet
2,True,26,14.299516908212562,901.8676578998566,anthropic/claude-3.7-sonnet
3,False,22,0.9172661870503597,899.7397882938385,anthropic/claude-3.7-sonnet
4,False,23,0.9208860759493671,901.5729117393494,anthropic/claude-3.7-sonnet
5,False,21,0.0,544.6628909111023,anthropic/claude-3.7-sonnet
6,False,23,1.0,799.5090222358704,anthropic/claude-3.7-sonnet
7,False,22,0.9692307692307692,851.7262432575226,anthropic/claude-3.7-sonnet
8,False,21,0.0,523.2027823925018,anthropic/claude-3.7-sonnet
9,True,25,3.0695443645083933,835.2778933048248,anthropic/claude-3.7-sonnet
10,True,23,1.0076335877862594,919.7407236099243,anthropic/claude-3.7-sonnet
11,True,22,1.017467248908297,885.4283182621002,anthropic/claude-3.7-sonnet
12,True,23,1.0423280423280423,971.5041000843048,anthropic/claude-3.7-sonnet
13,False,27,0.3644067796610169,1182.431880235672,anthropic/claude-3.7-sonnet
14,True,24,1.0035714285714286,1000.3505771160126,anthropic/claude-3.7-sonnet
15,False,24,0.9232505643340858,672.5544514656067,anthropic/claude-3.7-sonnet
