task_idx,success,attempts,best_score,duration_seconds,model
0,True,10,0.767605633802817,366.83962392807007,claude-3.7-sonnet
1,False,10,0.0,354.10180592536926,claude-3.7-sonnet
2,True,10,14.334975369458128,224.20257115364075,claude-3.7-sonnet
3,False,10,0.0,313.51948738098145,claude-3.7-sonnet
4,True,10,1.0034364261168385,407.48117303848267,claude-3.7-sonnet
5,False,10,0.0,410.085736989975,claude-3.7-sonnet
6,True,10,1.0081632653061225,224.11292719841003,claude-3.7-sonnet
7,True,10,1.0134408602150538,330.4182093143463,claude-3.7-sonnet
8,False,10,0.0,203.0640423297882,claude-3.7-sonnet
9,True,10,0.9190140845070423,253.95168590545654,claude-3.7-sonnet
10,True,10,0.9494584837545126,431.5797243118286,claude-3.7-sonnet
11,True,10,0.994269340974212,372.7156283855438,claude-3.7-sonnet
12,True,10,1.0,386.89310026168823,claude-3.7-sonnet
13,True,10,0.3135036496350365,405.9792973995209,claude-3.7-sonnet
14,True,10,1.001757469244288,293.04085302352905,claude-3.7-sonnet
15,True,10,1.011124845488257,399.3924181461334,claude-3.7-sonnet
